feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,target
wind,2019-03-08,1987-07-14,48.82576899643787,holiday,0,265,apparel,-21432,13.523982752375593,1998-01-13,44.66216705732466,1
coal,1990-07-14,2003-03-27,13.538272476460536,agency,29,-73,style,43467,48.799131682129406,1990-12-04,54.10344428337415,1
energy,1998-06-11,1980-10-01,19.77835084610751,agency,27,416,apparel,20790,23.6923806771983,1990-04-16,67.2296862079008,1
consumption,1997-11-12,2021-10-10,36.77390479634942,journey,7,-87,model,12110,26.809661433521576,1981-12-19,29.041454632438125,0
consumption,1997-08-26,2006-04-14,4.013137009241321,booking,11,25,design,-7720,18.013550533458016,1980-01-16,37.49610901829185,0
electricity,2019-12-05,1995-12-05,15.466623180765,ticket,16,322,fashion,12446,28.959141869256275,2005-02-18,50.35525533359506,1
fuel,1992-06-18,1995-11-17,15.524659673847541,guide,5,247,design,7251,28.65332787675437,1991-01-11,27.273710742114844,0
generation,2014-06-06,1994-09-17,1.5033955655761417,booking,7,113,brand,-7276,1.3663616706666277,2017-02-15,49.4311300180361,1
grid,2002-02-11,2006-08-04,12.743856015515965,ticket,11,217,collection,-1019,33.363403466949435,2001-12-05,48.567195892472824,0
gas,2022-05-19,2009-07-09,30.93589036719597,booking,7,288,design,23109,48.54172242948584,2001-05-11,51.211221166882154,1
nuclear,1987-11-21,1993-06-07,3.667884234426685,explore,25,420,trend,23088,6.700353758449732,1991-04-04,47.29444972352177,1
generation,1988-08-25,2013-06-07,16.167511570290923,accommodation,26,341,industry,-44700,21.12523070980825,2005-03-28,60.228923293275514,1
grid,2015-01-12,2020-03-07,39.49998957000537,vacation,-2,330,design,45524,16.822324452471936,2007-04-18,37.19766949913546,0
power,1999-06-14,1996-06-04,8.743987554050692,guide,29,495,design,-28247,3.045134387399521,1985-01-26,52.295715760669545,1
renewable,1988-10-25,2020-11-26,49.56906791739725,industry,15,189,trend,-31258,31.5514209251704,1983-08-23,62.64156461026811,1
wind,1981-10-01,2006-12-09,28.900068174520634,tourist,19,296,brand,-45749,21.966195172474873,1998-02-28,65.22842566696737,1
wind,2000-02-17,2013-11-22,13.586734993114328,travel,2,336,design,29517,43.566987257381456,1999-09-08,45.336254728755094,1
oil,1981-09-28,2023-05-27,9.586688255368719,ticket,13,293,runway,18270,20.914372926434993,1985-03-19,49.80899792157029,1
generation,2005-10-27,1984-10-26,21.188947417378266,tourism,-5,-10,industry,-37413,25.548293259925615,1999-03-13,47.051239398078295,0
wind,2010-03-06,1986-01-11,25.479447719035914,vacation,-4,18,show,-49367,17.90060691557203,2021-02-22,5.953103492735047,0
oil,2005-08-10,2007-12-28,32.1606181239115,holiday,23,-87,style,11155,23.299943597592954,1980-05-20,47.15308633133466,1
fuel,2019-05-28,1985-10-22,8.621909970512787,experience,24,-80,industry,38409,47.46052674850753,1998-04-06,66.22415092568909,1
generation,1981-09-15,2008-04-11,2.3427754523512085,package,28,152,trend,6146,42.27704305868236,2005-11-01,64.588249593314,1
coal,1995-09-15,1997-02-21,19.699190306367875,tourism,-7,-39,design,-46031,23.347877278505795,1996-02-16,26.905212370675304,0
wind,1985-05-15,1990-02-01,4.02663484649859,trip,20,8,apparel,-15919,17.106149705945292,2004-10-22,54.020070706893485,1
gas,1996-05-25,1999-01-01,20.265518706178273,journey,2,-61,runway,9702,11.632493863329476,2008-10-07,35.210959504266654,0
